Kanji;Definition;Pronounciation;Grade
亜;sub-, Asia;ア;S
哀;pathetic;アイ、あわ-れ、あわ-れむ;S
挨;push open;アイ;S
愛;love;アイ;4
曖;not clear;アイ;S
悪;bad;アク、オ、わる-い;3
握;grip;アク、にぎ-る;S
圧;pressure;アツ;5
扱;handle;あつか-う;S
宛;allocate;あ-てる;S
嵐;storm;あらし;S
安;cheap;アン、やす-い;3
案;plan;アン;4
暗;dark;アン、くら-い;3
以;by means of;イ;4
衣;clothes;イ、ころも;4
位;rank;イ、くらい;4
囲;surround;イ、かこ-む、かこ-う;5
医;doctor;イ;3
依;reliant;イ、（エ）;S
委;committee;イ、ゆだ-ねる;3
威;intimidate;イ;S
為;do;イ;S
畏;fear;イ、おそ-れる;S
胃;stomach;イ;6
尉;military officer;イ;S
異;uncommon;イ、こと;6
移;shift;イ、うつ-る、うつ-す;5
萎;wither;イ、な-える;S
偉;admirable;イ、えら-い;S
椅;chair;イ;S
彙;same kind;イ;S
意;idea;イ;3
違;differ;イ、ちが-う、ちが-える;S
維;fiber;イ;S
慰;consolation;イ、なぐさ-める、なぐさ-む;S
遺;bequeath;イ、（ユイ）;6
緯;horizontal;イ;S
域;range;イキ;6
育;nurture;イク、そだ-つ、そだ-てる、はぐく-む;3
一;one;イチ、イツ、ひと、ひと-つ;1
壱;one (falsification prevention);イチ;S
逸;deviate;イツ;S
茨;thorn;（いばら）;4
芋;potato;いも;S
引;pull;イン、ひ-く、ひ-ける;2
印;mark;イン、しるし;4
因;cause;イン、よ-る;5
咽;throat;イン;S
姻;matrimony;イン;S
員;member;イン;3
院;institution;イン;3
淫;lewdness;イン、みだ-ら;S
陰;shade;イン、かげ、かげ-る;S
飲;drink;イン、の-む;3
隠;conceal;イン、かく-す、かく-れる;S
韻;rhyme;イン;S
右;right (direction);ウ、ユウ、みぎ;1
宇;eaves;ウ;6
羽;feather;ウ、は、はね;2
雨;rain;ウ、あめ、（あま）;1
唄;songs with samisen;（うた）;S
鬱;gloom;ウツ;S
畝;furrow;うね;S
浦;bay;うら;S
運;carry;ウン、はこ-ぶ;3
雲;cloud;ウン、くも;2
永;eternity;エイ、なが-い;5
泳;swim;エイ、およ-ぐ;3
英;England;エイ;4
映;reflect;エイ、うつ-る、うつ-す、は-える;6
栄;prosperity;エイ、さか-える、は-え、は-える;4
営;manage;エイ、いとな-む;5
詠;recitation;エイ、よ-む;S
影;shadow;エイ、かげ;S
鋭;pointed;エイ、するど-い;S
衛;defense;エイ;5
易;easy;エキ、イ、やさ-しい;5
疫;epidemic;エキ、（ヤク）;S
益;benefit;エキ、（ヤク）;5
液;fluid;エキ;5
駅;station;エキ;3
悦;ecstasy;エツ;S
越;cross over;エツ、こ-す、こ-える;S
謁;audience;エツ;S
閲;review;エツ;S
円;round, yen;エン、まる-い;1
延;prolong;エン、の-びる、の-べる、の-ばす;6
沿;run alongside;エン、そ-う;6
炎;inflammation;エン、ほのお;S
怨;grudge;エン、オン;S
宴;banquet;エン;S
媛;princess;エン;4
援;aid;エン;S
園;garden;エン、その;2
煙;smoke;エン、けむ-る、けむり、けむ-い;S
猿;monkey;エン、さる;S
遠;far;エン、（オン）、とお-い;2
鉛;lead;エン、なまり;S
塩;salt;エン、しお;4
演;perform;エン;5
縁;affinity;エン、ふち;S
艶;glossy;エン、つや;S
汚;dirty;オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い;S
王;king;オウ;1
凹;concave;オウ;S
央;center;オウ;3
応;respond;オウ、こた-える;5
往;outward journey;オウ;5
押;pushed;オウ、お-す、お-さえる;S
旺;flourishing;オウ;S
欧;Europe;オウ;S
殴;assault;オウ、なぐ-る;S
桜;cherry tree;オウ、さくら;5
翁;venerable old man;オウ;S
奥;heart;オウ、おく;S
横;side;オウ、よこ;3
岡;hill;（おか）;4
屋;roof;オク、や;3
億;hundred million;オク;4
憶;recollection;オク;S
臆;timidity;オク;S
虞;uneasiness;おそれ;S
乙;the latter;オツ;S
俺;I, we, myself;おれ;S
卸;wholesale;おろ-す、おろし;S
音;sound;オン、イン、おと、ね;1
恩;grace;オン;6
温;warm;オン、あたた-か、あたた-かい、あたた-まる、あたた-める;3
穏;calm;オン、おだ-やか;S
下;below;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;1
化;change;カ、ケ、ば-ける、ば-かす;3
火;fire;カ、ひ、（ほ）;1
加;add;カ、くわ-える、くわ-わる;4
可;possible;カ;5
仮;temporary;カ、（ケ）、かり;5
何;what;カ、なに、（なん）;2
花;flower;カ、はな;1
佳;excellent;カ;S
価;value;カ、あたい;5
果;fruit;カ、は-たす、は-てる、は-て;4
河;river;カ、かわ;5
苛;torment;カ;S
科;section;カ;2
架;rack;カ、か-ける、か-かる;S
夏;summer;カ、（ゲ）、なつ;2
家;house;カ、ケ、いえ、や;2
荷;luggage;カ、に;3
華;splendor;カ、（ケ）、はな;S
菓;confectionery;カ;S
貨;freight;カ;4
渦;whirlpool;カ、うず;S
過;go beyond;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち;5
嫁;marry into;カ、よめ、とつ-ぐ;S
暇;spare time;カ、ひま;S
禍;calamity;カ;S
靴;shoes;カ、くつ;S
寡;widow;カ;S
歌;song;カ、うた、うた-う;2
箇;counters for things;カ;S
稼;earnings;カ、かせ-ぐ;S
課;section;カ;4
蚊;mosquito;か;S
牙;tusk;ガ、（ゲ）、きば;S
瓦;tile;ガ、かわら;S
我;ego, I, we;ガ、われ、わ;6
画;tableau;ガ、カク;2
芽;bud;ガ、め;4
賀;congratulations;ガ;4
雅;gracious;ガ;S
餓;starve;ガ;S
介;jammed in;カイ;S
回;times;カイ、（エ）、まわ-る、まわ-す;2
灰;ashes;カイ、はい;6
会;association;カイ、エ、あ-う;2
快;cheerful;カイ、こころよ-い;5
戒;commandment;カイ、いまし-める;S
改;reformation;カイ、あらた-める、あらた-まる;4
怪;suspicious;カイ、あや-しい、あや-しむ;S
拐;kidnap;カイ;S
悔;repent;カイ、く-いる、く-やむ、くや-しい;S
海;sea;カイ、うみ;2
界;world;カイ;3
皆;all;カイ、みな;S
械;contraption;カイ;4
絵;picture;カイ、エ;2
開;open;カイ、ひら-く、ひら-ける、あ-く、あ-ける;3
階;floor of a building;カイ;3
塊;clod;カイ、かたまり;S
楷;square character style;カイ;S
解;untie;カイ、ゲ、と-く、と-かす、と-ける;5
潰;crush;カイ、つぶ-す、つぶ-れる;S
壊;demolition;カイ、こわ-す、こわ-れる;S
懐;pocket;カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける;S
諧;harmony;カイ;S
貝;shellfish;かい;1
外;outside;ガイ、ゲ、そと、ほか、はず-す、はず-れる;2
劾;censure;ガイ;S
害;harm;ガイ;4
崖;cliff;ガイ、がけ;S
涯;horizon;ガイ;S
街;street;ガイ、（カイ）、まち;4
慨;rue;ガイ;S
蓋;cover;ガイ、ふた;S
該;above-stated;ガイ;S
概;outline;ガイ;S
骸;dead remains;ガイ;S
垣;hedge;かき;S
柿;persimmon;かき;S
各;each;カク、おのおの;4
角;angle;カク、かど、つの;2
拡;broaden;カク;6
革;leather;カク、かわ;6
格;status;カク、（コウ）;5
核;nucleus;カク;S
殻;husk;カク、から;S
郭;enclosure;カク;S
覚;memorize;カク、おぼ-える、さ-ます、さ-める;4
較;contrast;カク;S
隔;isolate;カク、へだ-てる、へだ-たる;S
閣;tall;カク;6
確;certain;カク、たし-か、たし-かめる;5
獲;seize;カク、え-る;S
嚇;menacing;カク;S
穫;harvest;カク;S
学;study;ガク、まな-ぶ;1
岳;point;ガク、たけ;S
楽;pleasure;ガク、ラク、たの-しい、たの-しむ;2
額;amount;ガク、ひたい;5
顎;jaw;ガク、あご;S
掛;hang;か-ける、か-かる、かかり;S
潟;lagoon;かた;4
括;fasten;カツ;S
活;active;カツ;2
喝;hoarse;カツ;S
渇;thirst;カツ、かわ-く;S
割;divide;カツ、わ-る、わり、わ-れる、さ-く;6
葛;arrowroot;カツ、くず;S
滑;slippery;カツ、コツ、すべ-る、なめ-らか;S
褐;brown;カツ;S
轄;control;カツ;S
且;moreover;か-つ;S
株;stocks;かぶ;6
釜;kettle;かま;S
鎌;sickle;かま;S
刈;reap;か-る;S
干;dry;カン、ほ-す、ひ-る;6
刊;publish;カン;5
甘;sweet;カン、あま-い、あま-える、あま-やかす;S
汗;sweat;カン、あせ;S
缶;tin can;カン;S
完;perfect;カン;4
肝;liver;カン、きも;S
官;government official;カン;4
冠;crown;カン、かんむり;S
巻;scroll;カン、ま-く、まき;6
看;watch over;カン;6
陥;collapse;カン、おちい-る、おとしい-れる;S
乾;dry;カン、かわ-く、かわ-かす;S
勘;intuition;カン;S
患;afflicted;カン、わずら-う;S
貫;pierce;カン、つらぬ-く;S
寒;cold;カン、さむ-い;3
喚;yell;カン;S
堪;withstand;カン、た-える;S
換;interchange;カン、か-える、か-わる;S
敢;daring;カン;S
棺;coffin;カン;S
款;goodwill;カン;S
間;interval;カン、ケン、あいだ、ま;2
閑;leisure;カン;S
勧;persuade;カン、すす-める;S
寛;tolerant;カン;S
幹;tree-trunk;カン、みき;5
感;feeling;カン;3
漢;China;カン;3
慣;accustomed;カン、な-れる、な-らす;5
管;pipe;カン、くだ;4
関;related;カン、せき、かか-わる;4
歓;delight;カン;S
監;oversee;カン;S
緩;slacken;カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める;S
憾;remorse;カン;S
還;send back;カン;S
館;public building;カン、やかた;3
環;ring;カン;S
簡;simplicity;カン;6
観;observe;カン;4
韓;Korea;カン;S
艦;warship;カン;S
鑑;specimen;カン、かんが-みる;S
丸;circle;ガン、まる、まる-い、まる-める;2
含;include;ガン、ふく-む、ふく-める;S
岸;beach;ガン、きし;3
岩;boulder;ガン、いわ;2
玩;trifle with;ガン;S
眼;eyeball;ガン、（ゲン）、まなこ;5
頑;stubborn;ガン;S
顔;face;ガン、かお;2
願;request;ガン、ねが-う;4
企;plan;キ、くわだ-てる;S
伎;deed;キ;S
危;dangerous;キ、あぶ-ない、あや-うい、あや-ぶむ;6
机;desk;キ、つくえ;6
気;feeling;キ、ケ;1
岐;branch off;キ;4
希;hope;キ;4
忌;mourning;キ、い-む、い-まわしい;S
汽;steam;キ;2
奇;strange;キ;S
祈;pray;キ、いの-る;S
季;seasons;キ;4
紀;chronicle;キ;5
軌;rut;キ;S
既;previously;キ、すで-に;S
記;write down;キ、しる-す;2
起;wake up;キ、お-きる、お-こる、お-こす;3
飢;hungry;キ、う-える;S
鬼;ghost;キ、おに;S
帰;return;キ、かえ-る、かえ-す;2
基;foundation;キ、もと、もとい;5
寄;approach;キ、よ-る、よ-せる;5
規;rule;キ;5
亀;turtle;キ、かめ;S
喜;rejoice;キ、よろこ-ぶ;5
幾;how many;キ、いく;S
揮;brandish;キ;6
期;period of time;キ、（ゴ）;3
棋;chess piece;キ;S
貴;precious;キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ;6
棄;abandon;キ;S
毀;destroy;キ;S
旗;national flag;キ、はた;4
器;container;キ、うつわ;4
畿;capital;キ;S
輝;radiance;キ、かがや-く;S
機;machine;キ、はた;4
騎;equestrian;キ;S
技;skill;ギ、わざ;5
宜;best regards;ギ;S
偽;falsehood;ギ、いつわ-る、にせ;S
欺;deceit;ギ、あざむ-く;S
義;righteousness;ギ;5
疑;doubt;ギ、うたが-う;6
儀;ceremony;ギ;S
戯;frolic;ギ、たわむ-れる;S
擬;mimic;ギ;S
犠;sacrifice;ギ;S
議;deliberation;ギ;4
菊;chrysanthemum;キク;S
吉;good luck;キチ、キツ;S
喫;consume;キツ;S
詰;packed;キツ、つ-める、つ-まる、つ-む;S
却;instead;キャク;S
客;guest;キャク、カク;3
脚;leg;キャク、（キャ）、あし;S
逆;inverted;ギャク、さか、さか-らう;5
虐;tyrannize;ギャク、しいた-げる;S
九;nine;キュウ、ク、ここの、ここの-つ;1
久;long time;キュウ、（ク）、ひさ-しい;5
及;reach out;キュウ、およ-ぶ、およ-び、およ-ぼす;S
弓;bow (archery, violin);キュウ、ゆみ;2
丘;hill;キュウ、おか;S
旧;old times;キュウ;5
休;rest;キュウ、やす-む、やす-まる、やす-める;1
吸;suck;キュウ、す-う;6
朽;decay;キュウ、く-ちる;S
臼;mortar;キュウ、うす;S
求;request;キュウ、もと-める;4
究;research;キュウ、きわ-める;3
泣;cry;キュウ、な-く;4
急;hurry;キュウ、いそ-ぐ;3
級;rank;キュウ;3
糾;twist;キュウ;S
宮;Shinto shrine;キュウ、グウ、（ク）、みや;3
救;salvation;キュウ、すく-う;5
球;sphere;キュウ、たま;3
給;salary;キュウ;4
嗅;smell;キュウ、か-ぐ;S
窮;hard up;キュウ、きわ-める、きわ-まる;S
牛;cow;ギュウ、うし;2
去;leave;キョ、コ、さ-る;3
巨;gigantic;キョ;S
居;reside;キョ、い-る;5
拒;repel;キョ、こば-む;S
拠;foothold;キョ、コ;S
挙;raise;キョ、あ-げる、あ-がる;4
虚;void;キョ、（コ）;S
許;permit;キョ、ゆる-す;5
距;long-distance;キョ;S
魚;fish;ギョ、うお、さかな;2
御;honorable;ギョ、ゴ、おん;S
漁;fishing;ギョ、リョウ;4
凶;villain;キョウ;S
共;together;キョウ、とも;4
叫;shout;キョウ、さけ-ぶ;S
狂;lunatic;キョウ、くる-う、くる-おしい;S
京;capital;キョウ、ケイ;2
享;receive;キョウ;S
供;offer;キョウ、（ク）、そな-える、とも;6
協;cooperation;キョウ;4
況;condition;キョウ;S
峡;gorge;キョウ;S
挟;pinch;キョウ、はさ-む、はさ-まる;S
狭;cramped;キョウ、せま-い、せば-める、せば-まる;S
恐;fear;キョウ、おそ-れる、おそ-ろしい;S
恭;respect;キョウ、うやうや-しい;S
胸;bosom;キョウ、むね、（むな）;6
脅;threaten;キョウ、おびや-かす、おど-す、おど-かす;S
強;strong;キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる;2
教;teach;キョウ、おし-える、おそ-わる;2
郷;home town;キョウ、ゴウ;6
境;boundary;キョウ、（ケイ）、さかい;5
橋;bridge;キョウ、はし;3
矯;rectify;キョウ、た-める;S
鏡;mirror;キョウ、かがみ;4
競;compete;キョウ、ケイ、きそ-う、せ-る;4
響;echo;キョウ、ひび-く;S
驚;wonder;キョウ、おどろ-く、おどろ-かす;S
仰;face-up;ギョウ、（コウ）、あお-ぐ、おお-せ;S
暁;daybreak;ギョウ、あかつき;S
業;business;ギョウ、ゴウ、わざ;3
凝;congeal;ギョウ、こ-る、こ-らす;S
曲;musical composition;キョク、ま-がる、ま-げる;3
局;office;キョク;3
極;poles;キョク、ゴク、きわ-める、きわ-まる、きわ-み;4
玉;ball;ギョク、たま;1
巾;towel;キン;S
斤;axe;キン;S
均;level;キン;5
近;near;キン、ちか-い;2
金;gold;キン、コン、かね、（かな）;1
菌;germ;キン;S
勤;diligence;キン、（ゴン）、つと-める、つと-まる;6
琴;harp;キン、こと;S
筋;muscle;キン、すじ;6
僅;a wee bit;キン、わず-か;S
禁;prohibition;キン;5
緊;tense;キン;S
錦;brocade;キン、にしき;S
謹;discreet;キン、つつし-む;S
襟;collar;キン、えり;S
吟;versify;ギン;S
銀;silver;ギン;3
区;ward;ク;3
句;phrase;ク;5
苦;suffer;ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る;3
駆;drive;ク、か-ける、か-る;S
具;tool;グ;3
惧;dread;グ;S
愚;foolish;グ、おろ-か;S
空;sky;クウ、そら、あ-く、あ-ける、から;1
偶;accidentally;グウ;S
遇;interview;グウ;S
隅;corner;グウ、すみ;S
串;skewer;くし;S
屈;yield;クツ;S
掘;dig;クツ、ほ-る;S
窟;cavern;クツ;S
熊;bear;くま;4
繰;winding;く-る;S
君;you;クン、きみ;3
訓;instruction;クン;4
勲;meritorious deed;クン;S
薫;fragrant;クン、かお-る;S
軍;army;グン;4
郡;county;グン;4
群;flock;グン、む-れる、む-れ、（むら）;4
兄;older brother;ケイ、（キョウ）、あに;2
刑;punish;ケイ;S
形;shape;ケイ、ギョウ、かた、かたち;2
系;lineage;ケイ;6
径;diameter;ケイ;4
茎;stalk;ケイ、くき;S
係;person in charge;ケイ、かか-る、かかり;3
型;model;ケイ、かた;5
契;pledge;ケイ、ちぎ-る;S
計;measure;ケイ、はか-る、はか-らう;2
恵;favor;ケイ、エ、めぐ-む;S
啓;disclose;ケイ;S
掲;put up (a notice);ケイ、かか-げる;S
渓;mountain stream;ケイ;S
経;manage;ケイ、キョウ、へ-る;5
蛍;lightning-bug;ケイ、ほたる;S
敬;respect;ケイ、うやま-う;6
景;scenery;ケイ;4
軽;light;ケイ、かる-い、かろ-やか;3
傾;lean;ケイ、かたむ-く、かたむ-ける;S
携;portable;ケイ、たずさ-える、たずさ-わる;S
継;inherit;ケイ、つ-ぐ;S
詣;visit a temple;ケイ、もう-でる;S
慶;jubilation;ケイ;S
憬;long for;ケイ;S
稽;consider;ケイ;S
憩;recess;ケイ、いこ-い、いこ-う;S
警;guard against;ケイ;6
鶏;chicken;ケイ、にわとり;S
芸;art;ゲイ;4
迎;welcome;ゲイ、むか-える;S
鯨;whale;ゲイ、くじら;S
隙;fissure;ゲキ、すき;S
劇;drama;ゲキ;6
撃;beat;ゲキ、う-つ;S
激;violent;ゲキ、はげ-しい;6
桁;beam;けた;S
欠;lack;ケツ、か-ける、か-く;4
穴;hole;ケツ、あな;6
血;blood;ケツ、ち;3
決;decide;ケツ、き-める、き-まる;3
結;tie;ケツ、むす-ぶ、ゆ-う、ゆ-わえる;4
傑;greatness;ケツ;S
潔;undefiled;ケツ、いさぎよ-い;5
月;month, moon;ゲツ、ガツ、つき;1
犬;dog;ケン、いぬ;1
件;affair;ケン;5
見;see;ケン、み-る、み-える、み-せる;1
券;ticket;ケン;6
肩;shoulder;ケン、かた;S
建;build;ケン、（コン）、た-てる、た-つ;4
研;sharpen;ケン、と-ぐ;3
県;prefecture;ケン;3
倹;frugal;ケン;S
兼;concurrently;ケン、か-ねる;S
剣;sabre;ケン、つるぎ;S
拳;fist;ケン、こぶし;S
軒;flats;ケン、のき;S
健;healthy;ケン、すこ-やか;4
険;precipitous;ケン、けわ-しい;5
圏;sphere;ケン;S
堅;strict;ケン、かた-い;S
検;examine;ケン;5
嫌;dislike;ケン、（ゲン）、きら-う、いや;S
献;offering;ケン、（コン）;S
絹;silk;ケン、きぬ;6
遣;dispatch;ケン、つか-う、つか-わす;S
権;rights;ケン、（ゴン）;6
憲;constitution;ケン;6
賢;intelligent;ケン、かしこ-い;S
謙;self-effacing;ケン;S
鍵;key;ケン、かぎ;S
繭;cocoon;ケン、まゆ;S
顕;appear;ケン;S
験;test;ケン、（ゲン）;4
懸;suspend;ケン、（ケ）、か-ける、か-かる;S
元;origin;ゲン、ガン、もと;2
幻;phantasm;ゲン、まぼろし;S
玄;mysterious;ゲン;S
言;say;ゲン、ゴン、い-う、こと;2
弦;bowstring;ゲン、つる;S
限;limit;ゲン、かぎ-る;5
原;field;ゲン、はら;2
現;appear;ゲン、あらわ-れる、あらわ-す;5
舷;gunwale;ゲン;S
減;decrease;ゲン、へ-る、へ-らす;5
源;origin;ゲン、みなもと;6
厳;strict;ゲン、（ゴン）、おごそ-か、きび-しい;6
己;self;コ、キ、おのれ;6
戸;door;コ、と;2
古;old;コ、ふる-い、ふる-す;2
呼;call;コ、よ-ぶ;6
固;hard;コ、かた-める、かた-まる、かた-い;4
股;crotch;コ、また;S
虎;tiger;コ、とら;S
孤;orphan;コ;S
弧;arc;コ;S
故;circumstances;コ、ゆえ;5
枯;wither;コ、か-れる、か-らす;S
個;individual;コ;5
庫;warehouse;コ、（ク）;3
湖;lake;コ、みずうみ;3
雇;employ;コ、やと-う;S
誇;boast;コ、ほこ-る;S
鼓;drum;コ、つづみ;S
錮;tie up;コ;S
顧;look back;コ、かえり-みる;S
五;five;ゴ、いつ、いつ-つ;1
互;mutually;ゴ、たが-い;S
午;noon;ゴ;2
呉;give;ゴ;S
後;behind;ゴ、コウ、のち、うし-ろ、あと、おく-れる;2
娯;recreation;ゴ;S
悟;enlightenment;ゴ、さと-る;S
碁;Go;ゴ;S
語;language;ゴ、かた-る、かた-らう;2
誤;mistake;ゴ、あやま-る;6
護;safeguard;ゴ;5
口;mouth;コウ、ク、くち;1
工;craft;コウ、ク;2
公;public;コウ、おおやけ;2
勾;capture;コウ;S
孔;cavity;コウ;S
功;achievement;コウ、（ク）;4
巧;adroit;コウ、たく-み;S
広;wide;コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる;2
甲;armor;コウ、カン;S
交;mix;コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす;2
光;ray;コウ、ひか-る、ひかり;2
向;over there;コウ、む-く、む-ける、む-かう、む-こう;3
后;empress;コウ;6
好;like;コウ、この-む、す-く;4
江;inlet;コウ、え;S
考;think;コウ、かんが-える;2
行;go;コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う;2
坑;pit;コウ;S
孝;filial piety;コウ;6
抗;confront;コウ;S
攻;aggression;コウ、せ-める;S
更;grow late;コウ、さら、ふ-ける、ふ-かす;S
効;effect;コウ、き-く;5
幸;happiness;コウ、さいわ-い、さち、しあわ-せ;3
拘;arrest;コウ;S
肯;agreement;コウ;S
侯;marquis;コウ;S
厚;thick;コウ、あつ-い;5
恒;constancy;コウ;S
洪;deluge;コウ;S
皇;emperor;コウ、オウ;6
紅;deep red;コウ、（ク）、べに、くれない;6
荒;laid waste;コウ、あら-い、あ-れる、あ-らす;S
郊;outskirts;コウ;S
香;incense;コウ、（キョウ）、か、かお-り、かお-る;4
候;climate;コウ、そうろう;4
校;school;コウ;1
耕;till;コウ、たがや-す;5
航;cruise;コウ;5
貢;tribute;コウ、（ク）、みつ-ぐ;S
降;descend;コウ、お-りる、お-ろす、ふ-る;6
高;tall, expensive;コウ、たか-い、たか、たか-まる、たか-める;2
康;health;コウ;4
控;withdraw;コウ、ひか-える;S
梗;close up;コウ;S
黄;yellow;コウ、オウ、き、（こ）;2
喉;throat;コウ、のど;S
慌;disconcerted;コウ、あわ-てる、あわ-ただしい;S
港;harbor;コウ、みなと;3
硬;stiff;コウ、かた-い;S
絞;strangle;コウ、しぼ-る、し-める、し-まる;S
項;paragraph;コウ;S
溝;gutter;コウ、みぞ;S
鉱;mineral;コウ;5
構;construct;コウ、かま-える、かま-う;5
綱;hawser;コウ、つな;S
酵;fermentation;コウ;S
稿;draft;コウ;S
興;entertain;コウ、キョウ、おこ-る、おこ-す;5
衡;equilibrium;コウ;S
鋼;steel;コウ、はがね;6
講;lecture;コウ;5
購;subscription;コウ;S
乞;beg;こ-う;S
号;number;ゴウ;3
合;fit;ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる;2
拷;torture;ゴウ;S
剛;sturdy;ゴウ;S
傲;be proud;ゴウ;S
豪;overpowering;ゴウ;S
克;overcome;コク;S
告;tell;コク、つ-げる;5
谷;valley;コク、たに;2
刻;engrave;コク、きざ-む;6
国;country;コク、くに;2
黒;black;コク、くろ、くろ-い;2
穀;cereals;コク;6
酷;cruel;コク;S
獄;prison;ゴク;S
骨;bone;コツ、ほね;6
駒;horse;こま;S
込;crowded;こ-む、こ-める;S
頃;times;ころ;S
今;now;コン、キン、いま;2
困;become distressed;コン、こま-る;6
昆;descendants;コン;S
恨;rancor;コン、うら-む、うら-めしい;S
根;root;コン、ね;3
婚;marriage;コン;S
混;mix;コン、ま-じる、ま-ざる、ま-ぜる、こ-む;5
痕;mark;コン、あと;S
紺;dark blue;コン;S
魂;soul;コン、たましい;S
墾;ground-breaking;コン;S
懇;sociable;コン、ねんご-ろ;S
左;left (direction);サ、ひだり;1
佐;help;サ;4
沙;sand;サ;S
査;investigate;サ;5
砂;sand;サ、シャ、すな;6
唆;tempt;サ、そそのか-す;S
差;distinction;サ、さ-す;4
詐;lie;サ;S
鎖;chain;サ、くさり;S
座;sit;ザ、すわ-る;6
挫;sprain;ザ;S
才;genius;サイ;2
再;again;サイ、（サ）、ふたた-び;5
災;disaster;サイ、わざわ-い;5
妻;wife;サイ、つま;5
采;form;サイ;S
砕;smash;サイ、くだ-く、くだ-ける;S
宰;superintend;サイ;S
栽;plantation;サイ;S
彩;coloring;サイ、いろど-る;S
採;pick;サイ、と-る;5
済;settle;サイ、す-む、す-ます;6
祭;festival;サイ、まつ-る、まつ-り;3
斎;purification;サイ;S
細;thin;サイ、ほそ-い、ほそ-る、こま-か、こま-かい;2
菜;vegetable;サイ、な;4
最;most;サイ、もっと-も;4
裁;judge;サイ、た-つ、さば-く;6
債;bond;サイ;S
